Lat,Long,Height,Epoch
37.39578316,-122.102713,23.06558105,1303686023
37.39579682,-122.1027984,27.25129773,1303686024
37.39580855,-122.1028438,25.60500769,1303686025
37.39580356,-122.1027914,26.36179274,1303686026
37.39581746,-122.1028247,27.1188194,1303686027
37.39585388,-122.102908,27.4084413,1303686028
37.39585515,-122.1029032,32.82005542,1303686029
37.39583166,-122.1029018,30.19914771,1303686030
37.39582609,-122.1028888,36.20721504,1303686031
37.39581741,-122.102901,33.34934727,1303686032
37.39582087,-122.1029163,33.70979353,1303686033
37.39583514,-122.1029312,30.6422023,1303686034
37.39590101,-122.1030046,25.78438658,1303686035
37.39587496,-122.102993,20.29181981,1303686036
37.39590159,-122.1030195,17.2642336,1303686037
37.3958837,-122.1029624,19.84383378,1303686038
37.39589929,-122.1029673,17.19327933,1303686039
37.39587135,-122.1029471,20.3657695,1303686040
37.39587215,-122.1029375,16.74584503,1303686041
37.39589359,-122.1029293,16.74700241,1303686042
37.39586168,-122.1029407,21.03442336,1303686043
37.39583599,-122.1029345,24.77778853,1303686044
37.39583952,-122.1029363,20.80225918,1303686045
37.39587397,-122.1028888,34.72220463,1303686046
37.39582455,-122.1029332,21.17269353,1303686047
37.39586158,-122.1028779,16.44840846,1303686049
37.39586093,-122.1029108,17.4764984,1303686050
37.39586716,-122.1028685,25.55234639,1303686051
37.39583496,-122.1028263,26.57509746,1303686052
37.3958627,-122.1028018,29.19223266,1303686053
37.39588782,-122.1028047,29.70466079,1303686054
37.39586108,-122.1028724,30.25441332,1303686055
37.39589454,-122.1028472,34.52173741,1303686056
37.39583703,-122.1028608,21.99835729,1303686057
37.39583435,-122.1028272,22.69113673,1303686058
37.3958356,-122.1028384,22.38677675,1303686059
37.39585877,-122.1027742,24.98712244,1303686060
37.39583656,-122.102775,20.92232982,1303686061
37.3958222,-122.1027093,19.26374459,1303686062
37.3958652,-122.1027942,15.56420412,1303686063
37.39584905,-122.1027462,11.13234906,1303686064
37.39586839,-122.1027556,13.01629619,1303686065
37.39590055,-122.1026876,11.19205215,1303686066
37.39593812,-122.1026563,9.697347977,1303686067
37.39594274,-122.1026832,8.154284786,1303686068
