collectionName,phoneName,millisSinceGpsEpoch,latDeg,lngDeg,heightAboveWgs84EllipsoidM,timeSinceFirstFixSeconds,hDop,vDop,speedMps,courseDegree
2021-04-28-US-MTV-1,SamsungS20Ultra,130368356700000%,37.39584537,-122.1029545,58.31,257,2.1,0,0,301
2021-04-28-US-MTV-1,SamsungS20Ultra,1.30368E+12,37.39584537,-122.1029545,58.31,258,2.1,0,0,301
2021-04-28-US-MTV-1,SamsungS20Ultra,1.30368E+12,37.39584537,-122.1029545,58.31,259,2.1,0,0,301
2021-04-28-US-MTV-1,SamsungS20Ultra,1.30368E+12,37.39584537,-122.1029545,58.31,260,2.1,0,0,301
2021-04-28-US-MTV-1,SamsungS20Ultra,1.30368E+12,37.39584537,-122.1029545,58.31,261,2.1,0,0,301
2021-04-28-US-MTV-1,SamsungS20Ultra,1.30368E+12,37.39584537,-122.1029545,58.31,262,0.8,0,0,301
2021-04-28-US-MTV-1,SamsungS20Ultra,1.30368E+12,37.39584537,-122.1029545,58.31,263,2.1,0,0,301
2021-04-28-US-MTV-1,SamsungS20Ultra,1.30368E+12,37.39584537,-122.1029545,58.31,264,2.1,0,0,301
2021-04-28-US-MTV-1,SamsungS20Ultra,1.30368E+12,37.39584537,-122.1029545,58.31,265,2.1,0,0,301
2021-04-28-US-MTV-1,SamsungS20Ultra,1.30368E+12,37.39584537,-122.1029545,58.31,266,2.1,0,0,301
2021-04-28-US-MTV-1,SamsungS20Ultra,1.30368E+12,37.39584537,-122.1029545,58.31,267,2.1,0,0,301
2021-04-28-US-MTV-1,SamsungS20Ultra,1.30368E+12,37.39584537,-122.1029545,58.31,268,2.1,0,0,301
2021-04-28-US-MTV-1,SamsungS20Ultra,1.30368E+12,37.39584537,-122.1029545,58.31,269,2.1,0,0,301
2021-04-28-US-MTV-1,SamsungS20Ultra,1.30368E+12,37.39584537,-122.1029545,58.31,270,2.4,0,0,301
2021-04-28-US-MTV-1,SamsungS20Ultra,1.30368E+12,37.39584537,-122.1029545,58.31,271,2.4,0,0,301
2021-04-28-US-MTV-1,SamsungS20Ultra,1.30368E+12,37.39584537,-122.1029545,58.31,272,2.4,0,0,301
2021-04-28-US-MTV-1,SamsungS20Ultra,1.30368E+12,37.39584537,-122.1029545,58.31,273,1.1,0,0,301
2021-04-28-US-MTV-1,SamsungS20Ultra,1.30368E+12,37.39584537,-122.1029545,58.31,274,1.1,0,0,301
2021-04-28-US-MTV-1,SamsungS20Ultra,1.30368E+12,37.39584537,-122.1029545,58.31,275,1,0,0,301
2021-04-28-US-MTV-1,SamsungS20Ultra,1.30368E+12,37.39584537,-122.1029545,58.31,276,1,0,0,301
2021-04-28-US-MTV-1,SamsungS20Ultra,1.30368E+12,37.39584537,-122.1029545,58.31,277,1,0,0,301
2021-04-28-US-MTV-1,SamsungS20Ultra,1.30368E+12,37.39584537,-122.1029545,58.31,278,1,0,0,301
2021-04-28-US-MTV-1,SamsungS20Ultra,1.30368E+12,37.39584537,-122.1029545,58.31,279,1,0,0,301
2021-04-28-US-MTV-1,SamsungS20Ultra,1.30368E+12,37.39584537,-122.1029545,58.31,280,1,0,0,301
2021-04-28-US-MTV-1,SamsungS20Ultra,1.30368E+12,37.39584537,-122.1029545,58.31,281,1,0,0,301
2021-04-28-US-MTV-1,SamsungS20Ultra,1.30368E+12,37.39584537,-122.1029545,58.31,282,1,0,0,301
2021-04-28-US-MTV-1,SamsungS20Ultra,1.30368E+12,37.39584539,-122.1029546,58.28,283,1,0,0,301
2021-04-28-US-MTV-1,SamsungS20Ultra,1.30368E+12,37.39584539,-122.1029546,58.28,284,1,0,0,301
2021-04-28-US-MTV-1,SamsungS20Ultra,1.30368E+12,37.39584539,-122.1029546,58.28,285,1,0,0,301
2021-04-28-US-MTV-1,SamsungS20Ultra,1.30368E+12,37.39584539,-122.1029546,58.28,286,1,0,0,301
2021-04-28-US-MTV-1,SamsungS20Ultra,1.30368E+12,37.39584539,-122.1029546,58.28,287,1,0,0,301
2021-04-28-US-MTV-1,SamsungS20Ultra,1.30368E+12,37.39584539,-122.1029547,58.28,288,1,0,0,301
2021-04-28-US-MTV-1,SamsungS20Ultra,1.30368E+12,37.39584528,-122.1029546,58.28,289,1,0,0.15,300.8
2021-04-28-US-MTV-1,SamsungS20Ultra,1.30368E+12,37.39584335,-122.1029512,58.28,290,1.2,0,0.62,300
2021-04-28-US-MTV-1,SamsungS20Ultra,1.30368E+12,37.39584069,-122.1029422,58.28,291,1.7,0,0.98,304.3
