collectionName,phoneName,millisSinceGpsEpoch,latDeg,lngDeg,heightAboveWgs84EllipsoidM,timeSinceFirstFixSeconds,hDop,vDop,speedMps,courseDegree
2021-01-05-US-SVL-1,Mi8,1293916337000,37.3794584200,-122.0720783200,70.96,215.00,0.90,0.00,0.00,301.00
2021-01-05-US-SVL-1,Mi8,1293916338000,37.3794584200,-122.0720783200,70.96,216.00,0.90,0.00,0.00,301.00
2021-01-05-US-SVL-1,Mi8,1293916339000,37.3794584200,-122.0720783200,70.96,217.00,0.90,0.00,0.00,301.00
2021-01-05-US-SVL-1,Mi8,1293916340000,37.3794584200,-122.0720783200,70.96,218.00,0.90,0.00,0.00,301.00
2021-01-05-US-SVL-1,Mi8,1293916341000,37.3794584200,-122.0720783200,70.96,219.00,0.90,0.00,0.00,301.00
2021-01-05-US-SVL-1,Mi8,1293916342000,37.3794584200,-122.0720783200,70.96,220.00,0.90,0.00,0.00,301.00
2021-01-05-US-SVL-1,Mi8,1293916343000,37.3794584200,-122.0720783200,70.96,221.00,0.90,0.00,0.00,301.00
2021-01-05-US-SVL-1,Mi8,1293916344000,37.3794584200,-122.0720783200,70.96,222.00,0.90,0.00,0.00,301.00
2021-01-05-US-SVL-1,Mi8,1293916345000,37.3794584200,-122.0720783200,70.96,223.00,0.90,0.00,0.00,301.00
2021-01-05-US-SVL-1,Mi8,1293916346000,37.3794584200,-122.0720783200,70.96,224.00,0.90,0.00,0.00,301.00
2021-01-05-US-SVL-1,Mi8,1293916347000,37.3794584200,-122.0720783200,70.96,225.00,0.90,0.00,0.00,301.00
2021-01-05-US-SVL-1,Mi8,1293916348000,37.3794584200,-122.0720783200,70.96,226.00,0.90,0.00,0.00,301.00
2021-01-05-US-SVL-1,Mi8,1293916349000,37.3794584217,-122.0720783200,70.96,227.00,0.90,0.00,0.00,301.00
2021-01-05-US-SVL-1,Mi8,1293916350000,37.3794584217,-122.0720783200,70.96,228.00,0.90,0.00,0.00,301.00
2021-01-05-US-SVL-1,Mi8,1293916351000,37.3794584217,-122.0720783200,70.95,229.00,0.90,0.00,0.00,301.00
2021-01-05-US-SVL-1,Mi8,1293916352000,37.3794584217,-122.0720783200,70.95,230.00,0.90,0.00,0.00,301.00
2021-01-05-US-SVL-1,Mi8,1293916353000,37.3794584217,-122.0720783200,70.95,231.00,0.90,0.00,0.00,301.00
2021-01-05-US-SVL-1,Mi8,1293916354000,37.3794584217,-122.0720783200,70.95,232.00,0.90,0.00,0.00,301.00
2021-01-05-US-SVL-1,Mi8,1293916355000,37.3794584217,-122.0720783200,70.95,233.00,0.90,0.00,0.00,301.00
2021-01-05-US-SVL-1,Mi8,1293916356000,37.3794584233,-122.0720783200,70.95,234.00,0.90,0.00,0.00,301.00
2021-01-05-US-SVL-1,Mi8,1293916357000,37.3794584233,-122.0720783200,70.95,235.00,0.90,0.00,0.00,301.00
2021-01-05-US-SVL-1,Mi8,1293916358000,37.3794584233,-122.0720783200,70.95,236.00,0.90,0.00,0.00,301.00
2021-01-05-US-SVL-1,Mi8,1293916359000,37.3794584250,-122.0720783200,70.95,237.00,0.90,0.00,0.00,301.00
2021-01-05-US-SVL-1,Mi8,1293916360000,37.3794584250,-122.0720783200,70.95,238.00,0.90,0.00,0.00,301.00
2021-01-05-US-SVL-1,Mi8,1293916361000,37.3794584267,-122.0720783200,70.95,239.00,0.90,0.00,0.00,301.00
2021-01-05-US-SVL-1,Mi8,1293916362000,37.3794584267,-122.0720783200,70.95,240.00,0.90,0.00,0.00,301.00
2021-01-05-US-SVL-1,Mi8,1293916363000,37.3794584833,-122.0720785167,70.93,241.00,0.90,0.00,0.00,301.00
2021-01-05-US-SVL-1,Mi8,1293916364000,37.3794588333,-122.0720797700,70.85,242.00,0.90,0.00,0.00,301.00
2021-01-05-US-SVL-1,Mi8,1293916365000,37.3794588567,-122.0720798700,70.84,243.00,0.90,0.00,0.00,301.00
2021-01-05-US-SVL-1,Mi8,1293916366000,37.3794588867,-122.0720800317,70.82,244.00,0.90,0.00,0.00,301.00
2021-01-05-US-SVL-1,Mi8,1293916367000,37.3794589200,-122.0720801650,70.81,245.00,0.90,0.00,0.00,301.00
2021-01-05-US-SVL-1,Mi8,1293916368000,37.3794589600,-122.0720803167,70.80,246.00,0.90,0.00,0.00,301.00
2021-01-05-US-SVL-1,Mi8,1293916369000,37.3794590100,-122.0720804817,70.78,247.00,0.90,0.00,0.00,301.00
2021-01-05-US-SVL-1,Mi8,1293916370000,37.3794590667,-122.0720806317,70.78,248.00,0.90,0.00,0.00,301.00
2021-01-05-US-SVL-1,Mi8,1293916371000,37.3794590833,-122.0720808833,70.76,249.00,0.90,0.00,0.05,301.00
2021-01-05-US-SVL-1,Mi8,1293916372000,37.3794579267,-122.0720785317,70.74,250.00,0.90,0.00,0.46,301.20
2021-01-05-US-SVL-1,Mi8,1293916373000,37.3794560417,-122.0720721483,70.73,251.00,0.90,0.00,0.67,305.00
2021-01-05-US-SVL-1,Mi8,1293916374000,37.3794538050,-122.0720634400,70.71,252.00,0.90,0.00,0.82,313.00
2021-01-05-US-SVL-1,Mi8,1293916375000,37.3794496633,-122.0720523100,70.69,253.00,0.90,0.00,1.08,325.40
2021-01-05-US-SVL-1,Mi8,1293916376000,37.3794425483,-122.0720410750,70.68,254.00,0.90,0.00,1.13,339.80
2021-01-05-US-SVL-1,Mi8,1293916377000,37.3794333467,-122.0720325267,70.67,255.00,0.90,0.00,1.13,354.10
2021-01-05-US-SVL-1,Mi8,1293916378000,37.3794228267,-122.0720273067,70.66,256.00,0.90,0.00,1.08,8.20
2021-01-05-US-SVL-1,Mi8,1293916379000,37.3794135050,-122.0720257383,70.64,257.00,0.90,0.00,0.67,19.60
2021-01-05-US-SVL-1,Mi8,1293916380000,37.3794103833,-122.0720262867,70.60,258.00,0.90,0.00,0.00,23.20
2021-01-05-US-SVL-1,Mi8,1293916381000,37.3794107300,-122.0720267267,70.56,259.00,0.90,0.00,0.10,23.20
2021-01-05-US-SVL-1,Mi8,1293916382000,37.3794146717,-122.0720251283,70.50,260.00,0.90,0.00,0.82,23.60
2021-01-05-US-SVL-1,Mi8,1293916383000,37.3794236750,-122.0720183217,70.43,261.00,0.90,0.00,1.54,28.10
2021-01-05-US-SVL-1,Mi8,1293916384000,37.3794392167,-122.0720054000,70.35,262.00,0.90,0.00,2.68,32.60
2021-01-05-US-SVL-1,Mi8,1293916385000,37.3794617233,-122.0719865417,70.23,263.00,0.90,0.00,3.19,34.40
2021-01-05-US-SVL-1,Mi8,1293916386000,37.3794850267,-122.0719657367,70.13,264.00,0.90,0.00,3.19,36.20
2021-01-05-US-SVL-1,Mi8,1293916387000,37.3795065333,-122.0719446833,70.03,265.00,1.40,0.00,2.78,39.00
2021-01-05-US-SVL-1,Mi8,1293916388000,37.3795236417,-122.0719235633,69.93,266.00,0.60,0.00,2.73,45.20
2021-01-05-US-SVL-1,Mi8,1293916389000,37.3795337883,-122.0718973117,69.86,267.00,2.80,0.00,2.57,62.40
2021-01-05-US-SVL-1,Mi8,1293916390000,37.3795334833,-122.0718696933,69.81,268.00,3.20,0.00,2.37,85.30
2021-01-05-US-SVL-1,Mi8,1293916391000,37.3795273050,-122.0718489450,69.76,269.00,3.30,0.00,1.59,102.20
2021-01-05-US-SVL-1,Mi8,1293916392000,37.3795229733,-122.0718364400,69.70,270.00,5.80,0.00,1.23,108.10
2021-01-05-US-SVL-1,Mi8,1293916393000,37.3795199667,-122.0718213317,69.65,271.00,1.60,0.00,1.59,106.40
2021-01-05-US-SVL-1,Mi8,1293916394000,37.3795200133,-122.0717985833,69.58,272.00,1.60,0.00,2.47,95.50
2021-01-05-US-SVL-1,Mi8,1293916395000,37.3795278467,-122.0717648883,69.54,273.00,1.30,0.00,3.45,77.10
2021-01-05-US-SVL-1,Mi8,1293916396000,37.3795460717,-122.0717288550,69.49,274.00,1.30,0.00,3.60,59.40
2021-01-05-US-SVL-1,Mi8,1293916397000,37.3795685900,-122.0717014967,69.38,275.00,1.30,0.00,3.04,46.40
2021-01-05-US-SVL-1,Mi8,1293916398000,37.3795885233,-122.0716835000,69.28,276.00,1.40,0.00,2.21,38.70
2021-01-05-US-SVL-1,Mi8,1293916399000,37.3796004400,-122.0716731833,69.19,277.00,1.90,0.00,0.98,37.20
2021-01-05-US-SVL-1,Mi8,1293916400000,37.3796039783,-122.0716700983,69.18,278.00,1.90,0.00,0.10,37.20
2021-01-05-US-SVL-1,Mi8,1293916401000,37.3796043683,-122.0716699550,69.17,279.00,0.10,0.00,0.00,37.20
2021-01-05-US-SVL-1,Mi8,1293916402000,37.3796044550,-122.0716700283,69.17,280.00,1.80,0.00,0.00,37.20
2021-01-05-US-SVL-1,Mi8,1293916403000,37.3796046850,-122.0716701867,69.13,281.00,1.10,0.00,0.00,37.20
2021-01-05-US-SVL-1,Mi8,1293916404000,37.3796046983,-122.0716701950,69.13,282.00,1.10,0.00,0.00,37.20
2021-01-05-US-SVL-1,Mi8,1293916405000,37.3796046983,-122.0716701950,69.13,283.00,1.10,0.00,0.00,37.20
