Lat,Long,Height,Epoch
37.3958394000237,-122.102705072347,58.0223971605301,1303683548.43391
37.3956984637384,-122.102695858983,63.9729511272162,1303683549.4339
37.3956799488857,-122.102733288374,66.653752354905,1303683550.4339
37.3958000147773,-122.102972784906,19.4987473292276,1303683551.43389
37.3958012937467,-122.102900583553,12.8251072485,1303683552.43389
37.3956584537723,-122.103022753363,24.5326259052381,1303683553.43388
37.3956573012262,-122.10293836398,-8.66748867090791,1303683554.43392
37.3957374215394,-122.102943790257,12.1312254015356,1303683555.43387
37.3955467347805,-122.102848664821,8.58606879413128,1303683556.43391
37.395843186818,-122.1029541634,3.2726735798642,1303683557.4339
37.3956430660479,-122.10284337995,32.4025197643787,1303683558.4339
37.3955715690605,-122.102741439097,36.6851000627503,1303683559.43389
37.3956267794955,-122.102812887613,39.43693358358,1303683560.43389
37.39569643271,-122.10294006619,59.986249698326,1303683561.43392
37.3957388290087,-122.102870002707,47.714290807955,1303683562.43387
37.3957682886823,-122.102793709805,21.8492012154311,1303683563.43391
37.3957339365425,-122.102738416149,29.7237100275233,1303683564.4339
37.3957546978014,-122.102839504135,46.8699274910614,1303683565.4339
37.3958116389789,-122.102877255891,12.2725798329338,1303683566.43389
37.3957345062976,-122.102834152515,-1.42154525686055,1303683567.43389
37.3956653536758,-122.102867017213,28.1786450855434,1303683568.43388
37.3957428122483,-122.102761222713,5.87242150679231,1303683569.43388
37.3958204124095,-122.102825867056,-20.3466465938836,1303683570.43391
37.3957355191986,-122.102796134088,-6.9967380259186,1303683571.43391
37.3957519179114,-122.102921015245,5.2124173566699,1303683572.4339
37.395807657491,-122.102954293864,0.219443678855896,1303683573.4339
37.3958490369767,-122.103021389024,-0.448822498321533,1303683574.43389
37.3957935146592,-122.102989674125,24.3132774056867,1303683575.43388
37.3956503463683,-122.10272579579,30.0315749188885,1303683576.43388
37.3957920486308,-122.103056531758,-7.31470339372754,1303683577.43391
37.3957083357213,-122.102940831081,38.6522586606443,1303683578.43391
37.3958015186294,-122.103120701281,28.6967007163912,1303683579.4339
37.3957971031758,-122.102988065569,2.50603103078902,1303683580.4339
37.395694000358,-122.102624953078,81.7308036768809,1303683581.43389
37.395827076457,-122.103033623147,16.2066660011187,1303683582.43389
37.3958329426398,-122.10297122386,4.23961135372519,1303683583.43388
37.3958352714379,-122.10290205907,30.435596418567,1303683584.43392
37.3958252462282,-122.102917995291,45.7166218599305,1303683585.43387
37.3958481496317,-122.102879268915,18.9135486613959,1303683586.43391
37.3958278263094,-122.102942455599,19.9214498652145,1303683587.4339
37.3958896313524,-122.102942392316,37.9846479138359,1303683588.43389
37.3958769988099,-122.102789514928,24.3794499784708,1303683589.43389
